jurisdiction,state_population,violent_crime_total,murder_manslaughter,rape_legacy,rape_revised,robbery,agg_assault,property_crime_total,burglary,larceny,vehicle_theft
LOUISIANA,4287768,30923,555,1587,,5928,22853,174975,46703,112605,15667
MAINE,1321574,1533,23,341,,383,786,33658,6846,25465,1347
MARYLAND,5615727,38111,546,1178,,14376,22011,195484,37459,127502,30523
MASSACHUSETTS,6437193,32217,188,1771,,8080,22178,153943,35243,100725,17975
MICHIGAN,10095643,56981,721,5347,,14229,36684,325594,76313,199183,50098
MINNESOTA,5167101,16042,126,1645,,5441,8830,159276,30306,115693,13277
MISSISSIPPI,2910540,9076,231,1039,,3259,4547,92853,27117,57406,8330
MISSOURI,5842713,31897,369,1764,,7597,22167,224007,44734,153874,25399
MONTANA,944632,3564,33,348,,233,2950,26986,3380,21659,1947
NEBRASKA,1768331,5197,51,577,,1136,3433,59411,9535,44710,5166
NEVADA,2495529,18687,226,1092,,7038,10331,102338,24902,50429,27007
NEW HAMPSHIRE,1314895,1785,13,295,,435,1042,26060,4395,20179,1486
NEW JERSEY,8724560,30550,427,1201,,13360,15562,198820,39384,134687,24749
NEW MEXICO,1954599,12797,134,1073,,2095,9495,76000,20906,45864,9230
NEW YORK,19306183,84016,922,3168,,34459,45467,398577,68617,297827,32133
NORTH CAROLINA,8856505,42088,539,2495,,13468,25586,364549,107333,227114,30102
NORTH DAKOTA,635867,1255,14,241,,75,925,13359,2601,9672,1086
OHIO,11478006,41491,560,4770,,19418,16743,423334,105639,279718,37977
OKLAHOMA,3579212,17905,210,1488,,3145,13062,129728,34437,81853,13438
OREGON,3700758,10534,88,1219,,2711,6516,137858,24324,98897,14637
PENNSYLVANIA,12440621,55028,741,3611,,21095,29581,304589,57739,217142,29708
RHODE ISLAND,1067610,2460,27,289,,740,1404,27914,5453,18852,3609
SOUTH CAROLINA,4321249,33322,362,1834,,5902,25224,184712,42952,125075,16685
SOUTH DAKOTA,781919,2071,30,465,,158,1418,13812,3024,9954,834
TENNESSEE,6038803,46043,419,2194,,11143,32287,249860,63024,164183,22653
TEXAS,23507783,121602,1386,8429,,37256,74531,959846,215710,648711,95425
UTAH,2550063,5771,51,891,,1242,3587,89572,14721,66480,8371
VERMONT,623908,905,14,173,,114,604,14920,3443,10857,620
VIRGINIA,7642884,21683,403,1829,,7779,11672,190257,32166,143292,14799
WASHINGTON,6395798,22303,197,2748,,6424,12934,288456,58843,183179,46434
WEST VIRGINIA,1818470,5113,80,404,,853,3776,47941,11579,32305,4057
WISCONSIN,5556506,15899,165,1233,,5564,8937,156748,27038,115682,14028
WYOMING,515004,1307,13,151,,72,1071,15381,2322,12255,804
ALABAMA,4627851,20775,412,1548,,7398,11417,184082,45379,124465,14238
ALASKA,683478,4520,43,545,,581,3351,23096,3734,16929,2433
ARIZONA,6338755,32835,548,2353,,9764,20170,287308,59988,177076,50244
ARKANSAS,2834797,15226,198,1294,,3105,10629,112130,32035,73096,6999
CALIFORNIA,36553215,191561,2262,9046,,70706,109547,1112510,237850,654526,220134
COLORADO,4861515,17101,155,2075,,3461,11410,145808,28633,100519,16656
CONNECTICUT,3502309,10547,113,690,,4303,5441,86528,15640,60937,9951
DELAWARE,864764,6100,39,341,,1763,3957,29216,6420,20454,2342
FLORIDA,18251243,131878,1202,6149,,38155,86372,746249,181836,490783,73630
GEORGIA,9544750,46917,720,2198,,17291,26708,371248,90294,238436,42518
HAWAII,1283388,3544,24,377,,1122,2021,52866,9089,37494,6283
IDAHO,1499402,3841,49,607,,243,2942,34124,7131,24727,2266
ILLINOIS,12852548,68528,752,4103,,23100,40573,377322,75524,267911,33887
INDIANA,6345289,21310,350,1738,,7845,11377,213887,46485,147999,19403
IOWA,2988046,8970,39,970,,1328,6633,79133,17176,57018,4939
KANSAS,2775997,12730,106,1287,,2022,9315,102961,20461,73900,8600
KENTUCKY,4241474,12329,206,1365,,4068,6690,107987,27820,71489,8678
LOUISIANA,4293204,31789,625,1427,,6316,23421,180516,46932,118291,15293
MAINE,1317207,1565,20,392,,349,804,32249,6745,24228,1276
MARYLAND,5618344,36063,554,1179,,13258,21072,192796,37095,127308,28393
MASSACHUSETTS,6449755,28487,187,1643,,7021,19636,154743,35767,103925,15051
MICHIGAN,10071822,53765,661,4592,,13365,35147,308550,75273,191289,41988
MINNESOTA,5197621,15054,116,1873,,4770,8295,158257,29717,115892,12648
MISSISSIPPI,2918785,8502,202,1033,,2896,4371,90887,27223,56473,7191
MISSOURI,5878415,32962,367,1785,,7728,23082,225113,44897,156319,23897
MONTANA,957861,3638,27,363,,233,3015,27837,3476,22315,2046
NEBRASKA,1774571,5524,71,550,,1115,3788,55765,9035,41484,5246
NEVADA,2565382,19365,193,1096,,6938,11138,97118,24911,49844,22363
NEW HAMPSHIRE,1315828,1896,12,357,,451,1076,26394,5074,19909,1411
NEW JERSEY,8685920,28544,381,1032,,12567,14564,192338,37234,133145,21959
NEW MEXICO,1969915,13311,183,1028,,2323,9777,75168,20823,45442,8903
NEW YORK,19297729,79962,805,2928,,31085,45144,383624,64914,290681,28029
NORTH CAROLINA,9061032,42231,584,2386,,13534,25727,369893,108700,233241,27952
NORTH DAKOTA,639715,1343,17,252,,75,999,12796,2314,9500,982
OHIO,11466917,40759,529,4661,,18351,17218,397681,99049,264677,33955
OKLAHOMA,3617316,18234,224,1565,,3392,13053,128714,34367,80747,13600
OREGON,3747455,11015,76,1276,,2864,6799,132773,22979,95157,14637
PENNSYLVANIA,12432792,51806,725,3443,,19440,28198,293850,56091,211248,26511
RHODE ISLAND,1057832,2424,19,258,,760,1387,27576,5206,19175,3195
SOUTH CAROLINA,4407709,34630,364,1773,,6354,26139,189304,45398,126802,17104
SOUTH DAKOTA,796214,1926,31,433,,118,1344,13829,2647,10398,784
TENNESSEE,6156719,46482,405,2201,,11033,32843,252342,61817,168807,21718
TEXAS,23904380,122014,1419,8460,,38778,73357,985421,228320,663101,94000
UTAH,2645330,6347,59,935,,1425,3928,93082,15594,68573,8915
VERMONT,621254,802,13,128,,79,582,14702,3200,10853,649
VIRGINIA,7712091,21035,415,1793,,7696,11131,191763,32028,145634,14101
WASHINGTON,6468424,21768,174,2653,,6079,12862,261776,52874,170782,38120
WEST VIRGINIA,1812035,5016,65,388,,847,3716,45620,10822,31321,3477
WISCONSIN,5601640,16330,185,1227,,5480,9438,159305,27890,117957,13458
WYOMING,522830,1344,21,172,,84,1067,15053,2365,11875,813
ALABAMA,4661900,21110,351,1618,,7346,11795,190416,50411,126539,13466
ALASKA,686293,4475,27,447,,645,3356,20090,3237,15225,1628
ARIZONA,6500180,31567,462,2200,,9809,19096,266653,58606,169460,38587
ARKANSAS,2855390,14649,165,1463,,2777,10244,110360,33912,69905,6543
CALIFORNIA,36756666,185329,2142,8903,,69388,104896,1080996,237811,650656,192529
COLORADO,4939456,17480,165,2151,,3404,11760,139340,28054,97937,13349
CONNECTICUT,3501252,10737,132,680,,4043,5882,87210,15107,63212,8891
DELAWARE,873092,6187,57,371,,1847,3912,31385,6783,22045,2557
FLORIDA,18328340,126256,1168,5972,,36268,82848,758889,188472,506902,63515
GEORGIA,9685744,47353,640,2334,,17808,26571,387917,100564,247709,39644
HAWAII,1288198,3510,26,363,,1085,2036,45944,9404,31424,5116
IDAHO,1523816,3680,23,579,,239,2839,31940,6748,23532,1660
ILLINOIS,12901563,67780,790,4118,,24054,38818,378355,78968,266815,32572
INDIANA,6376792,21525,322,1711,,7580,11912,213639,48805,147334,17500
IOWA,3002555,8651,77,937,,1249,6388,73273,16598,52299,4376
KANSAS,2802134,11554,113,1226,,1681,8534,94882,19651,67826,7405
KENTUCKY,4269245,12690,201,1457,,4080,6952,114492,29556,77279,7657
LOUISIANA,4410796,29613,544,1250,,6241,21578,171179,45524,112091,13564
MAINE,1316456,1572,31,379,,333,829,32433,6559,24695,1179
MARYLAND,5633597,35393,493,1127,,13203,20570,198165,38849,133983,25333
MASSACHUSETTS,6497967,30137,166,1751,,7077,21143,155919,36251,106913,12755
MICHIGAN,10003422,51512,554,4507,,13246,33205,295100,74787,184558,35755
MINNESOTA,5220393,13853,110,1805,,4179,7759,149517,26558,112764,10195
MISSISSIPPI,2938618,8942,236,958,,3079,4669,85488,25506,53730,6252
MISSOURI,5911605,29701,456,1612,,7395,20238,216522,45763,150002,20757
MONTANA,967440,3013,40,358,,204,2411,26300,3689,20834,1777
NEBRASKA,1783432,5570,69,601,,1297,3603,51350,8731,38394,4225
NEVADA,2600167,18973,165,1106,,6486,11216,90006,24254,49814,15938
NEW HAMPSHIRE,1315809,2054,14,385,,421,1234,28387,4266,22714,1407
NEW JERSEY,8682661,28351,376,1122,,12701,14152,199127,40402,138545,20180
NEW MEXICO,1984356,12967,161,1118,,2151,9537,75718,20706,46995,8017
NEW YORK,19490297,77546,836,2798,,31787,42125,388599,65544,297962,25093
NORTH CAROLINA,9222414,43125,599,2296,,14323,25907,372763,111556,234480,26727
NORTH DAKOTA,641481,1441,11,331,,73,1026,13029,2336,9782,911
OHIO,11485910,40436,547,4531,,18706,16652,391667,102428,260788,28451
OKLAHOMA,3642361,19359,215,1471,,3698,13975,126535,35247,80265,11023
OREGON,3790060,9909,87,1183,,2656,5983,125169,21115,92677,11377
PENNSYLVANIA,12448279,51044,705,3485,,18873,27981,300294,58687,219115,22492
RHODE ISLAND,1050788,2656,31,282,,880,1463,29895,5766,20926,3203
SOUTH CAROLINA,4479800,32746,307,1686,,6595,24158,189950,45964,126316,17670
SOUTH DAKOTA,804194,2227,37,562,,134,1494,13867,2683,10266,918
TENNESSEE,6214888,44913,412,2078,,10804,31619,251089,65093,166793,19203
TEXAS,24326974,123585,1370,8055,,37739,76421,969865,230046,654435,85384
UTAH,2736424,6165,41,915,,1421,3788,92373,14766,70299,7308
VERMONT,621270,854,17,133,,93,611,15903,3515,11802,586
VIRGINIA,7769089,20031,370,1794,,7470,10397,196726,32188,151191,13347
WASHINGTON,6549224,21888,193,2653,,6419,12623,249283,53136,167013,29134
WEST VIRGINIA,1814468,5006,67,389,,896,3654,45971,10840,31967,3164
WISCONSIN,5627967,15507,146,1128,,5163,9070,155456,27459,116456,11541
WYOMING,532668,1330,12,185,,87,1046,14515,2198,11584,733
ALABAMA,4708708,21194,322,1504,,6265,13103,178007,48844,118072,11091
ALASKA,698473,4424,22,513,,654,3235,20538,3600,15251,1687
ARIZONA,6595778,28128,380,2279,,8199,17270,236721,54308,155976,26437
ARKANSAS,2889450,14905,179,1378,,2576,10772,109078,34753,68228,6097
CALIFORNIA,36961664,174934,1972,8713,,64093,100156,1009433,230198,615402,163833
COLORADO,5024748,17022,159,2269,,3371,11223,134196,26637,95079,12480
CONNECTICUT,3518288,10588,106,657,,4001,5824,82625,15172,59992,7461
DELAWARE,885122,5713,41,395,,1680,3597,29685,6943,20836,1906
FLORIDA,18537969,113541,1017,5501,,30911,76112,712010,181884,479867,50259
GEORGIA,9829211,42073,566,2323,,14631,24553,360985,98606,229216,33163
HAWAII,1295178,3550,23,385,,1030,2112,47516,9244,33415,4857
IDAHO,1545801,3805,24,575,,254,2952,31220,6682,23066,1472
ILLINOIS,12910409,64185,773,3901,,22923,36588,353347,77850,248821,26676
INDIANA,6423113,21455,312,1621,,7347,12175,199907,48880,137190,13837
IOWA,3007856,8485,38,890,,1201,6356,70080,16419,49757,3904
KANSAS,2818747,11460,125,1179,,1786,8370,90930,19473,65499,5958
KENTUCKY,4314113,11000,184,1531,,3642,5643,108914,29880,72938,6096
LOUISIANA,4492076,28878,529,1351,,6150,20848,172619,46928,114102,11589
MAINE,1318301,1580,26,375,,399,780,31706,6729,23955,1022
MARYLAND,5699478,33625,440,1156,,12007,20022,182295,36905,125771,19619
MASSACHUSETTS,6593587,30503,173,1734,,7467,21129,153178,34515,106799,11864
MICHIGAN,9969727,49825,623,4524,,12427,32251,284019,76046,178628,29345
MINNESOTA,5266214,12874,74,1789,,3619,7392,139286,25580,105160,8546
MISSISSIPPI,2951996,8451,194,991,,2969,4297,87327,29559,52329,5439
MISSOURI,5987580,29513,387,1606,,7437,20083,201783,43591,140764,17428
MONTANA,974989,2798,32,357,,228,2181,24826,3686,19528,1612
NEBRASKA,1796619,5199,41,617,,1220,3321,49731,8726,37496,3509
NEVADA,2643085,18639,156,1024,,6028,11431,80976,22115,46463,12398
NEW HAMPSHIRE,1324575,2125,11,399,,454,1261,28790,4915,22748,1127
NEW JERSEY,8707739,27113,319,1041,,11639,14114,180752,36945,128303,15504
NEW MEXICO,2009671,12709,198,1069,,1932,9510,74639,21955,46182,6502
NEW YORK,19541453,75110,781,2582,,28141,43606,377537,62769,292897,21871
NORTH CAROLINA,9380884,37946,489,2306,,11825,23326,343707,107830,215923,19954
NORTH DAKOTA,646844,1723,12,296,,107,1308,12813,2426,9474,913
OHIO,11542645,38305,527,4119,,17670,15989,376446,104009,249777,22660
OKLAHOMA,3687050,18560,234,1535,,3358,13433,132350,38071,83813,10466
OREGON,3825657,9968,88,1202,,2499,6179,114780,19739,85064,9977
PENNSYLVANIA,12604767,48188,664,3626,,17504,26394,277182,54772,204588,17822
RHODE ISLAND,1053209,2678,32,296,,785,1565,27558,5753,19403,2402
SOUTH CAROLINA,4561242,30799,305,1663,,5753,23078,178310,45443,119250,13617
SOUTH DAKOTA,812383,1777,30,501,,117,1129,14378,2621,10891,866
TENNESSEE,6296254,41933,468,2019,,9653,29793,237157,63832,158309,15016
TEXAS,24782302,121684,1330,8311,,38022,74021,995082,240058,678455,76569
UTAH,2784572,5998,39,941,,1304,3714,91751,15258,69556,6937
VERMONT,621760,837,8,132,,111,586,15010,3471,11090,449
VIRGINIA,7882590,18195,370,1572,,6342,9911,194020,31956,150374,11690
WASHINGTON,6664195,22412,190,2583,,6711,12928,245215,53047,168421,23747
WEST VIRGINIA,1819777,5554,84,470,,914,4086,46215,12005,31453,2757
WISCONSIN,5654774,14650,146,1118,,4904,8482,147692,26813,111947,8932
WYOMING,544270,1196,11,172,,78,935,14243,2176,11310,757
ALABAMA,4785401,18363,275,1355,,4864,11869,168828,42484,115564,10780
ALASKA,714146,4537,31,533,,594,3379,20259,3105,15535,1619
ARIZONA,6413158,26528,408,2191,,6953,16976,226802,50932,154137,21733
ARKANSAS,2921588,14711,134,1321,,2369,10887,103820,32463,65796,5561
CALIFORNIA,37338198,164133,1809,8331,,58116,95877,981939,228857,600558,152524
COLORADO,5047692,16339,129,2230,,3164,10816,135001,26196,97534,11271
CONNECTICUT,3575498,10083,133,595,,3553,5802,78259,15145,56413,6701
DELAWARE,899792,5608,51,326,,1839,3392,31078,7550,21593,1935
FLORIDA,18838613,101969,987,5373,,26086,69523,669035,169119,458454,41462
GEORGIA,9712157,39068,555,2107,,12372,24034,353449,96947,226161,30341
HAWAII,1363359,3603,25,377,,1065,2136,45667,8706,31681,5280
IDAHO,1571102,3464,22,533,,213,2696,31436,6513,23594,1329
ILLINOIS,12841980,57132,704,3066,,20386,32976,349064,77472,242681,28911
INDIANA,6490622,20983,268,1760,,6559,12396,199274,48570,137204,13500
IOWA,3050202,8191,38,883,,1012,6258,68740,16746,48194,3800
KANSAS,2859143,10602,97,1146,,1538,7821,89109,19315,63774,6020
KENTUCKY,4347223,10604,188,1438,,3748,5230,111170,30443,74488,6239
LOUISIANA,4545343,25241,500,1230,,5297,18214,165667,45437,110260,9970
MAINE,1327379,1621,24,389,,412,796,32900,7364,24547,989
MARYLAND,5785681,31607,426,1228,,11054,18899,173309,36704,118578,18027
MASSACHUSETTS,6555466,30737,214,1784,,6897,21842,154496,37903,105124,11469
MICHIGAN,9877143,48693,580,4733,,11522,31858,271501,74345,169748,27408
MINNESOTA,5310658,12515,96,1798,,3388,7233,136431,24415,103429,8587
MISSISSIPPI,2970072,7999,204,931,,2777,4087,88596,30453,52784,5359
MISSOURI,5995715,27440,420,1445,,6185,19390,200858,44197,140526,16135
MONTANA,990958,2733,25,332,,154,2222,25409,3692,20166,1551
NEBRASKA,1830141,5093,54,674,,1020,3345,48827,8318,36896,3613
NEVADA,2704283,17929,158,965,,5298,11508,75004,22286,42533,10185
NEW HAMPSHIRE,1316807,2204,13,411,,450,1330,29230,5444,22789,997
NEW JERSEY,8799593,27055,371,981,,11818,13885,183042,38732,128754,15556
NEW MEXICO,2065913,12147,140,959,,1616,9432,70776,21023,44503,5250
NEW YORK,19395206,76492,868,2797,,28630,44197,379710,65839,293232,20639
NORTH CAROLINA,9560234,34679,474,2002,,9620,22583,329202,102826,208057,18319
NORTH DAKOTA,674629,1548,10,245,,90,1203,12010,2000,9137,873
OHIO,11537968,36306,479,3730,,16486,15611,376836,107125,248581,21130
OKLAHOMA,3760184,18100,195,1469,,3345,13091,129464,37848,81303,10313
OREGON,3838332,9648,96,1239,,2421,5892,116657,20035,87494,9128
PENNSYLVANIA,12717722,46612,653,3472,,16375,26112,276366,55206,204440,16720
RHODE ISLAND,1052528,2709,29,298,,782,1600,26959,6124,18432,2403
SOUTH CAROLINA,4637106,27923,265,1551,,5017,21090,181098,46261,121544,13293
SOUTH DAKOTA,816598,2196,23,385,,154,1634,15188,3192,11196,800
TENNESSEE,6357436,38909,359,2173,,8361,28016,232855,64293,153729,14833
TEXAS,25253466,113231,1249,7622,,32843,71517,951246,228597,654626,68023
UTAH,2775479,5925,53,983,,1269,3620,88316,15095,67242,5979
VERMONT,625909,820,7,141,,76,596,14160,3348,10373,439
VIRGINIA,8023953,17184,376,1580,,5678,9550,187403,30804,145990,10609
WASHINGTON,6742950,21138,154,2579,,5929,12476,249426,55192,168490,25744
WEST VIRGINIA,1854368,5586,58,362,,776,4390,41301,10778,28104,2419
WISCONSIN,5691659,14167,155,1191,,4516,8305,142781,26636,107993,8152
WYOMING,564554,1117,8,162,,77,870,13869,2151,11126,592
ALABAMA,4803689,20166,299,1370,,4906,13591,173192,51119,111411,10662
ALASKA,723860,4416,30,436,,576,3374,19094,2852,14854,1388
ARIZONA,6467315,26789,397,2499,,7145,16748,229896,54695,155400,19801
ARKANSAS,2938582,14173,160,1230,,2357,10426,110430,34016,70645,5769
CALIFORNIA,37683933,154943,1792,7665,,54291,91195,973822,230075,596905,146842
COLORADO,5116302,16085,155,2285,,3299,10346,132781,25725,96054,11002
CONNECTICUT,3586717,9889,129,689,,3689,5382,77205,15468,55067,6670
DELAWARE,908137,5144,48,307,,1558,3231,31163,7617,22001,1545
FLORIDA,19082262,98198,984,5273,,25622,66319,671200,170171,461408,39621
GEORGIA,9812460,36762,549,2066,,12266,21881,357235,96014,231543,29678
HAWAII,1378129,3465,20,353,,994,2098,43874,8165,31240,4469
IDAHO,1583744,3202,35,444,,188,2535,32875,6915,24629,1331
ILLINOIS,12859752,54523,781,3030,,20217,30495,344468,77719,237362,29387
INDIANA,6516353,21619,306,1758,,6977,12578,206016,50571,140630,14815
IOWA,3064097,7883,44,866,,824,6149,72043,17573,50472,3998
KANSAS,2870386,10209,111,1122,,1448,7528,88655,18712,63259,6684
KENTUCKY,4366814,10465,151,1499,,3705,5110,119037,32750,79586,6701
LOUISIANA,4574766,25373,506,1262,,5235,18370,168529,46242,113174,9113
MAINE,1328544,1638,26,394,,370,848,33829,7865,24886,1078
MARYLAND,5839572,28817,399,1200,,10342,16876,166846,35823,114951,16072
MASSACHUSETTS,6607003,28232,184,1654,,6768,19626,148829,36403,101644,10782
MICHIGAN,9876801,43731,617,4344,,10263,28507,251329,69755,156666,24908
MINNESOTA,5347299,12323,75,2113,,3385,6750,136183,25681,102354,8148
MISSISSIPPI,2977457,8009,232,863,,2496,4418,89809,30722,54179,4908
MISSOURI,6008984,26888,366,1469,,6275,18778,199085,44875,138879,15331
MONTANA,997667,2755,29,366,,171,2189,23885,3347,19089,1449
NEBRASKA,1842234,4672,68,699,,993,2912,50894,8725,38060,4109
NEVADA,2720028,15452,139,913,,4308,10092,70075,20342,40156,9577
NEW HAMPSHIRE,1317807,2864,16,581,,509,1758,32756,6244,25398,1114
NEW JERSEY,8834773,27203,380,1006,,12209,13608,189719,43238,129066,17415
NEW MEXICO,2078674,11904,158,856,,1720,9170,73549,21419,46730,5400
NEW YORK,19501616,77463,769,2751,,28405,45538,371837,65227,287361,19249
NORTH CAROLINA,9651103,33421,498,1959,,9448,21516,337806,105534,215453,16819
NORTH DAKOTA,684740,1699,24,266,,91,1318,13334,2458,9891,985
OHIO,11541007,35218,500,3679,,15991,15048,380572,112901,246744,20927
OKLAHOMA,3784163,17311,212,1410,,3288,12401,127618,36462,80064,11092
